ESPN
Cooper Flagg
Airious Bailey
Dylan Harper
V.J. Edgecombe
Tre Johnson
Jalil Bethea
Isaiah Evans
Derrion Reid
Flory Bidunga
Derik Queen
Liam McNeeley
Asa Newell
Drake Powell
Jayden Quaintance
Johnuel Fland
Ian Jackson
Bryson Tucker
Pat Ngongba
Donavan Freeman
Carter Bryant
Aiden Sherrell
Kon Knueppel
Jase Richardson
Karter Knox
Robert Wright III
Trent Perry
Tahaad Pettiford
Morez Johnson
Zoom Diallo
Labaron Philon
Ahmad Nowell
Cameron Scott
Khani Rooths
Jamari Phillips
K. Annor Boateng
Rakease Passmore
Darren Harris
John Bol
Billy Richmond
John Mobley
Vyctorius Miller
David Castillo
Austin Swartz
Jason Asemota
Kanon Catchings
Somto Cyril
Jalen Shelley
Amier Ali
Naasir Cunningham
Kur Teng
