Player
Cooper Flagg
Airious Bailey
Dylan Harper
VJ Edgecombe
Tre Johnson
Jalil Bethea
Isaiah Evans
Derrion Reid
Flory Bidunga
Derik Queen
Liam McNeeley
Asa Newell
Drake Powell
Jayden Quaintance
Boogie Fland
Ian Jackson
Bryson Tucker
Patrick Ngongba
Carter Bryant
Aiden Sherrell
Kon Knueppel
Jase Richardson
Karter Knox
Tahaad Pettiford
Morez Johnson
Zoom Diallo
Labaron Philon
Ahmad Nowell
Khani Rooths
Jamari Phillips
Annor Boateng
Rakease Passmore
Billy Richmond
John Mobley
David Castillo
Jason Asemota
Kanon Catchings
Somto Cyril
Naasir Cunningham
Kur Teng
