Rivals
Cooper Flagg
Airious Bailey
Dylan Harper
Tre Johnson
V.J. Edgecombe
Flory Bidunga
Jalil Bethea
Drake Powell
Ian Jackson
"Johnuel ""Boogie"" Fland"
Jayden Quaintance
Kon Knueppel
Liam Mcneeley
Karter Knox
Derik Queen
Asa Newell
Isaiah Evans
Aiden Sherrell
Bryson Tucker
Billy Richmond
Tahaad Pettiford
Derrion Reid
Jason Asemota
Robert Wright Iii
Patrick Ngongba
Annor Boateng
Tyler Betsey
Zoom Diallo
Morez Johnson
Cam Scott
Carter Bryant
Kanon Catchings
Khani Rooths
Isaiah Elohim
Jackson Mcandrew
Ahmad Nowell
Jamari Phillips
Damarius Owens
Jase Richardson
Labaron Philon
Nicolas Codie
David Castillo
Kur Teng
Somtochukwu Cyril
Austin Swartz
Jalen Shelley
Naasir Cunningham
Vyctorius Miller
Rakease Passmore
John Mobley
